title,link,author,pubDate,description,isbn,isbn13,itemId,priceSales,priceStandard,mallType,stockStatus,mileage,cover,categoryId,categoryName,publisher,salesPoint,adult,fixedPrice,customerReviewRank,image_url,EPUB
"[세트] 1000가지 감정 + 감정 노트북 세트 - 전2권",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=102160873&amp;partner=openAPI&amp;start=api,"김지승, 마리오 지오다노 (지은이), 임유진 (옮긴이)",2017-02-01,"영화 [엑스페리먼트]의 감독이자 시나리오작가 마리오 지오다노가 글쓰기가 꽉 막혔을 때 구상하고 기획한 책 &lt;1000가지 감정&gt;, 우리 감정을 들여다보고, 그 감정에 손과 입을 달아주기 위해 만들어진 감정 워크북 &lt;감정 노트북&gt; 두 권으로 구성된 세트.",K482536784,,102160873,18450,20500,BOOK,,1020,https://image.aladin.co.kr/product/10216/8/coversum/k482536784_1.jpg,51514,"국내도서>인문학>심리학/정신분석학>교양 심리학",엑스북스(xbooks),195,0,1,0,https://image.aladin.co.kr/product/10216/8/cover500/k482536784_1.jpg,NULL
"[세트] EBS 윤혜정의 개념의 나비효과 입문편 + 워크북 세트 - 전2권 (2024년용)",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=303344201&amp;partner=openAPI&amp;start=api,"윤혜정 (지은이)",2022-09-30,"&lt;EBS 윤혜정의 개념의 나비효과 입문편&gt;, &lt;EBS 윤혜정의 개념의 나비효과 입문편 워크북&gt;으로 구성된 세트 교재다.",K452839333,,303344201,29700,33000,BOOK,,320,https://image.aladin.co.kr/product/30334/42/coversum/k452839333_1.jpg,77125,국내도서>고등학교참고서>고등-문제집>국어영역,한국교육방송공사(중고등),54615,0,1,0,https://image.aladin.co.kr/product/30334/42/cover500/k452839333_1.jpg,NULL
"[세트] 낭만 강아지 봉봉 1~5 세트 - 전5권",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=329768304&amp;partner=openAPI&amp;start=api,"홍민정 (지은이), 김무연 (그림)",2023-12-05,"누적 판매 10만 부를 돌파하면서 어린이 베스트셀러로 자리매김한 시리즈인 만큼 주인공 봉봉은 수많은 어린이 독자를 만나며 그동안 다정하고도 씩씩한 모험 이야기를 들려주었다.",K022936553,,329768304,55800,62000,BOOK,,3100,https://image.aladin.co.kr/product/32976/83/coversum/k022936553_1.jpg,48874,국내도서>어린이>동화/명작/고전>국내창작동화,다산어린이,640,0,1,0,https://image.aladin.co.kr/product/32976/83/cover500/k022936553_1.jpg,NULL
"[세트] 양파의 왕따 일기 1~2 세트 - 전2권",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=242125482&amp;partner=openAPI&amp;start=api,"문선이 (지은이)",2020-05-29,"4학년 교과서 수록작 &lt;양파의 왕따 일기&gt;는 EBS 드라마로도 제작된, 약 20년간 꾸준하게 어린 친구들한테 사랑을 받은 스테디셀러이다. 이야기는 어린이들의 교실 속을 훤히 들여다보는 것처럼 흘러간다.",K742630169,,242125482,21420,23800,BOOK,,1180,https://image.aladin.co.kr/product/24212/54/coversum/k742630169_1.jpg,48874,국내도서>어린이>동화/명작/고전>국내창작동화,푸른놀이터,1723,0,1,0,https://image.aladin.co.kr/product/24212/54/cover500/k742630169_1.jpg,NULL
"10대를 위한 총균쇠 수업",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=323193486&amp;partner=openAPI&amp;start=api,"김정진 (지은이)",2023-08-15,"재레드 다이아몬드의 명저 《총 균 쇠》를 대한민국 청소년들의 눈높이와 니즈에 맞게 해설했다. 역사의 흐름 속 강자와 패자를 결정지은 결정적 비밀, 그리고 한반도가 세계 문명사에서 자리 잡을 수 있었던 이유에 관하여 알아본다.",K972834556,9791198026811,323193486,14400,16000,BOOK,,800,https://image.aladin.co.kr/product/32319/34/coversum/k972834556_2.jpg,1142,"국내도서>청소년>청소년 인문/사회",넥스트씨,32640,0,1,10,https://image.aladin.co.kr/product/32319/34/cover500/k972834556_2.jpg,NULL
"1일 1채소 - 매일 채식으로 100세까지 건강하게",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330500142&amp;partner=openAPI&amp;start=api,"이와사키 마사히로 (지은이), 홍성민 (옮긴이)",2024-01-01,"의학 박사이자 영양관리사로 병원 현장에서 환자에게 영양을 지도하고 질병 예방을 관리하던 저자의 경험과 노하우가 고스란히 담겨 있다. 누구나 쉽게 채소에 가까워질 수 있도록 채소만이 가진 영양학적 매력을 건강을 위한 채소 투자에 비유해 알려준다.",K932937897,9791198212078,330500142,15300,17000,BOOK,,850,https://image.aladin.co.kr/product/33050/1/coversum/k932937897_1.jpg,53556,"국내도서>건강/취미>건강정보>음식과 건강",레몬한스푼,1485,0,1,10,https://image.aladin.co.kr/product/33050/1/cover500/k932937897_1.jpg,NULL
"2020 트렌드 모니터 - 대중을 읽고 기획하는 힘",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=211934514&amp;partner=openAPI&amp;start=api,"최인수, 윤덕환, 채선애, 송으뜸 (지은이)",2019-10-24,"2020년, 대한민국 소비자들은 어떻게 변할까? 『2020 트렌드 모니터』가 분석한 2020년 소비 트렌드 변화의 핵심 키워드는 ‘외로움’이다. 저자들은 ‘개인화가 심화되고 있는 사회성(취향)’과 ‘타인에 대한 인식’이 개별 소비자의 소비 현상에 큰 영향을 미치고 있다고 분석했다.",K272636081,9791190259088,211934514,14400,16000,BOOK,,800,https://image.aladin.co.kr/product/21193/45/coversum/k272636081_1.jpg,263,"국내도서>경제경영>트렌드/미래전망>트렌드/미래전망 일반",시크릿하우스,330,0,1,10,https://image.aladin.co.kr/product/21193/45/cover500/k272636081_1.jpg,NULL
"2021 트렌드 모니터 - 대중을 읽고 기획하는 힘",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=253720365&amp;partner=openAPI&amp;start=api,"최인수, 윤덕환, 채선애, 송으뜸 (지은이)",2020-10-26,"《2021 트렌드 모니터》가 분석한 2021년 소비 트렌드 변화의 핵심 키워드는 “타인으로부터의 자유, 다시 ‘나’를 찾는 여행”이다. 이 키워드는 비대면으로 인해 타인에게서 분리된 사람들의 ‘개인의 정체성 찾기’가 2021년의 가장 중요한 포인트임을 의미한다.",K692633717,9791190259392,253720365,16200,18000,BOOK,,900,https://image.aladin.co.kr/product/25372/3/coversum/k692633717_2.jpg,263,"국내도서>경제경영>트렌드/미래전망>트렌드/미래전망 일반",시크릿하우스,162,0,1,10,https://image.aladin.co.kr/product/25372/3/cover500/k692633717_2.jpg,NULL
"2022 트렌드 모니터 - 대중을 읽고 기획하는 힘",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=281576392&amp;partner=openAPI&amp;start=api,"최인수, 윤덕환, 채선애, 송으뜸, 이진아 (지은이)",2021-10-25,"글로벌 팬데믹은 블랙 스완처럼 전 세계인들의 생활 양식을 송두리째 바꾸어놓고 있다. 가까운 미래의 조심스러운 전망도 방역 단계에 따라 춤을 춘다. 예측이 힘든 시대, 그럼에도 불구하고 대중 소비자들의 태도(attitude)에 주목했다. 《2022 트렌드 모니터》는 2022년 변화의 핵심 키워드를 “강력한 영향력을 원하는 ‘슈퍼 개인’의 등장, 그리고 ‘일상적 통제 욕구의 확장’”으로 분석했다.",K632835868,9791190259927,281576392,16200,18000,BOOK,,900,https://image.aladin.co.kr/product/28157/63/coversum/k632835868_1.jpg,263,"국내도서>경제경영>트렌드/미래전망>트렌드/미래전망 일반",시크릿하우스,399,0,1,0,https://image.aladin.co.kr/product/28157/63/cover500/k632835868_1.jpg,NULL
"2023 세법노트북 : 부가가치세법",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=310564194&amp;partner=openAPI&amp;start=api,"주민규 (지은이)",2023-02-07,"세법개론, 객관식세법, 세무회계를 강의할 때 사용하는 서브노트 및 강의노트이다. 저자가 연구하여 만든 세법의 창의적인 계산구조(틀, 도해법)를 제시하였으며, 세법의 각종 어려운 법조문을 그림으로 설명·풀이하고 있다.",K172831423,9791159733451,310564194,11400,12000,BOOK,,600,https://image.aladin.co.kr/product/31056/41/coversum/k172831423_1.jpg,179225,국내도서>수험서/자격증>국가전문자격>세무사,세경,606,0,1,0,https://image.aladin.co.kr/product/31056/41/cover500/k172831423_1.jpg,NULL
